Student_ID,Pre_No,TVEP Study,Fall_GRTR_Score,Fall_GRTR_Level,Winter_GRTR_Score,Winter_GRTR_Level,Spring_GRTR_Score,Spring_GRTR_Level,Incomplete_IRI,Fall_LNF,Fall_Level,Fall_LSF,Winter_LNF,Winter_LNF_Level,Winter_LSF,Winter_LSF_Level,Winter_LNF_Growth,Winter_LSF_Growth,Spring_LNF,Spring_LNF_Level,Spring_LSF,Spring_LSF_Level,Spring_LNF_Growth,Spring_LSF_Growth,am_pm,teacher,school,cohort
124282947,,,,,,,,,1,,,,36,3,33,3,36,33,39,2,68,3,39,68,1,1,0,1
127648521,1,,19,2,20,2,23,1,0,31,3,9,32,2,25,3,1,16,45,3,34,3,14,25,0,3,1,1
142728168,1,,18,2,21,3,25,3,1,,,,37,3,21,3,37,21,42,2,39,3,42,39,1,1,0,1
164658334,1,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,1
176343167,,,,,,,,,0,31,3,14,58,3,49,3,27,35,55,3,48,3,24,34,0,2,0,1
179283294,,,,,,,,,0,20,3,8,36,3,25,3,16,17,53,3,47,3,33,39,0,3,1,1
183837445,1,,9,1,7,1,12,1,,,,,,,,,,,,,,,,,,,,1
199474726,,,,,,,,,1,,,,,,,,0,0,9,1,43,3,9,43,0,1,0,1
218834332,,,,,,,,,0,11,3,0,29,2,27,3,18,27,23,1,28,2,12,28,1,1,0,1
223994426,,,,,,,,,0,20,3,1,31,2,28,3,11,27,50,3,57,3,30,56,0,1,0,1
226168478,,,,,,,,,0,25,3,5,29,2,23,3,4,18,37,2,56,3,12,51,0,2,0,1
227388697,1,0,,,,,21,2,0,12,3,3,24,2,25,3,12,22,52,3,34,3,40,31,0,3,1,1
236438768,1,,3,1,9,1,13,1,0,11,3,5,6,1,19,3,5,14,37,2,45,3,26,40,1,2,0,1
237662588,,,,,,,,,1,,,,20,2,30,3,20,30,38,2,50,3,38,50,0,1,0,1
238778285,,,,,,,,,0,8,2,2,15,1,12,2,7,10,12,1,20,2,4,18,0,2,0,1
244386343,,,,,,,,,0,0,1,0,26,2,18,3,26,18,52,3,43,3,52,43,0,1,0,1
245185447,,,,,,,,,0,20,3,3,33,3,23,3,13,20,32,2,29,2,12,26,0,1,0,1
248495213,,,,,,,,,0,8,2,3,35,3,29,3,27,26,58,3,50,3,50,47,0,3,1,1
252468435,,,,,,,,,0,26,3,21,29,2,26,3,3,5,53,3,56,3,27,35,0,1,0,1
